"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1727","Closing the navigation drawer","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","navigationDrawer.spec.js","",""
"","1543","Verify the data points on the left navigation drawer","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","navigationDrawer.spec.js","",""
"","1678","Logout functionality","chromium","Sat Sep 14 18:35:55 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","navigationDrawer.spec.js","",""
"","749","Sorting products from Z to A","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:56 IST 2024","","product.spec.js","",""
"","690","Verify the validation for login page","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:56 IST 2024","","login.spec.js","",""
"","847","Add and remove product from cart","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","product.spec.js","",""
"","769","Successful login with valid credentials","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:56 IST 2024","","login.spec.js","",""
"","730","Unsuccessful login due to invalid credentials","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:56 IST 2024","","login.spec.js","",""
"","950","Verifying validation for Checkout: Your Information","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","product.spec.js","",""
"","994","Checkout process with single product","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:57 IST 2024","","product.spec.js","",""
"","2967","Checkout process with multiple products","chromium","Sat Sep 14 18:35:56 IST 2024","passed","Sat Sep 14 18:35:59 IST 2024","","product.spec.js","",""
